Date,Open,High,Low,Close,Volume,Adj Close
2013-07-24,9.80,9.85,9.40,9.59,110450900,9.59
2013-07-23,9.50,9.88,9.42,9.88,91277000,9.88
2013-07-22,9.48,9.60,9.29,9.45,88292600,9.45
2013-07-19,10.15,10.18,9.50,9.56,138749300,9.56
2013-07-18,10.35,10.52,10.07,10.12,73428300,10.12
2013-07-17,10.35,10.70,10.10,10.39,91172800,10.39
2013-07-16,10.34,10.52,10.11,10.45,89019700,10.45
2013-07-15,10.45,10.75,10.24,10.45,86632500,10.45
2013-07-12,10.83,10.95,10.32,10.40,92669000,10.40
2013-07-11,10.37,11.01,10.35,10.78,197670600,10.78
2013-07-10,9.71,10.31,9.63,10.28,94910100,10.28
2013-07-09,9.91,10.05,9.58,9.66,80460900,9.66
2013-07-08,10.06,10.33,9.90,10.00,84632700,10.00
2013-07-05,10.20,10.70,10.06,10.20,142439800,10.20
2013-07-04,9.38,9.92,9.38,9.80,132003800,9.80
2013-07-03,9.70,9.70,9.22,9.46,123077700,9.46
2013-07-02,9.88,9.91,9.40,9.72,110995600,9.72
2013-07-01,9.74,10.00,9.62,9.88,103759300,9.88
2013-06-28,9.15,10.00,9.15,9.85,234909200,9.85
2013-06-27,9.10,9.36,9.01,9.09,129277400,9.09
2013-06-26,9.10,9.14,8.79,8.99,143592100,8.99
2013-06-25,8.90,9.16,8.38,8.85,170938800,8.85
2013-06-24,9.88,9.88,9.00,9.03,173365100,9.03
2013-06-21,9.72,10.06,9.60,9.90,90978900,9.90
2013-06-20,10.19,10.27,9.89,9.92,80301100,9.92
2013-06-19,10.38,10.38,9.99,10.19,96882100,10.19
2013-06-18,10.35,10.47,10.30,10.44,70590300,10.44
2013-06-17,10.73,10.75,10.18,10.33,117954900,10.33
2013-06-14,10.71,10.82,10.65,10.69,56813700,10.69
2013-06-13,11.00,11.00,10.45,10.67,86938900,10.67
2013-06-12,11.21,11.21,11.21,11.21,000,11.21
2013-06-11,11.21,11.21,11.21,11.21,000,11.21
2013-06-10,11.21,11.21,11.21,11.21,000,11.21
2013-06-07,11.45,11.53,11.06,11.21,87652500,11.21
2013-06-06,11.79,11.82,11.43,11.49,67642700,11.49
2013-06-05,11.90,11.90,11.68,11.83,47892800,11.83
2013-06-04,12.00,12.16,11.74,11.86,73788100,11.86
2013-06-03,12.01,12.20,11.95,12.00,52348900,12.00
2013-05-31,12.31,12.41,11.95,11.98,61379300,11.98
2013-05-30,12.20,12.45,12.11,12.31,51775000,12.31
2013-05-29,12.36,12.61,12.26,12.32,98852000,12.32
2013-05-28,11.81,12.38,11.72,12.36,94178700,12.36
2013-05-27,11.84,11.87,11.68,11.80,51237500,11.80
2013-05-24,12.05,12.19,11.72,11.91,87662000,11.91
2013-05-23,12.10,12.47,11.90,12.01,93165000,12.01
2013-05-22,11.99,12.30,11.88,12.10,76503300,12.10
2013-05-21,11.99,12.03,11.77,12.03,69293200,12.03
2013-05-20,12.20,12.45,11.90,11.93,126290400,11.93
2013-05-17,11.68,12.20,11.67,12.16,151364100,12.16
2013-05-16,11.18,11.70,11.12,11.70,85115600,11.70
2013-05-15,11.32,11.42,11.21,11.31,32849400,11.15
2013-05-14,11.59,11.67,11.26,11.32,42887700,11.16
2013-05-13,11.77,11.90,11.59,11.62,38375100,11.45
2013-05-10,11.58,11.78,11.55,11.75,40236000,11.58
2013-05-09,11.69,11.73,11.40,11.59,61023700,11.42
2013-05-08,11.72,12.04,11.68,11.74,80520400,11.57
2013-05-07,11.27,11.61,11.25,11.58,79763900,11.41
2013-05-06,11.39,11.48,11.24,11.32,70548300,11.16
2013-05-03,11.35,11.70,11.34,11.39,100654000,11.23
2013-05-02,10.88,11.38,10.86,11.34,73106300,11.18
2013-05-01,11.03,11.03,11.03,11.03,000,10.87
2013-04-30,11.03,11.03,11.03,11.03,000,10.87
2013-04-29,11.03,11.03,11.03,11.03,000,10.87
2013-04-26,10.99,11.19,10.99,11.03,48444300,10.87
2013-04-25,11.24,11.24,10.91,10.98,102690800,10.82
2013-04-24,11.28,11.44,11.04,11.30,100774300,11.14
