Date,Open,High,Low,Close,Volume
2012-07-20,5.6996,5.7188,5.6708,5.69, 40600000
2012-07-19,  5.72,5.7488,5.6527,5.72, 65554800
2012-07-18,5.7877,5.7877,5.6531,5.73, 64180300
2012-07-17,5.7031,5.7896,5.7031,5.78, 71100700
2012-07-16,5.7581,5.7677,5.6812,5.71, 67614700
2012-07-13,5.6631,5.7977,5.6631,5.74, 69005700
2012-07-12,5.6408,5.7177,5.5735,5.66, 91654800
2012-07-11,5.6404,5.6788,5.6116,5.65, 51338100
2012-07-10,5.6208,5.6688,5.6112,5.64, 55235900
2012-07-09,5.7737,5.8121,5.5816,5.62,120380600
2012-07-06,5.7523,5.8292,5.6946,5.81,114176700
2012-07-05,  5.85,5.8692,5.8115,5.85, 50020700
2012-07-04,5.8508,5.9181,5.8219,5.87, 70265500
2012-07-03,5.7527, 5.897,5.7334,5.82, 87509900
2012-07-02,5.7788,5.7885,5.7019,5.75, 59399500
2012-06-29,5.6638,5.7888,5.6542,5.76,101744000
2012-06-28,5.6688, 5.688,5.6016,5.64, 62350700
2012-06-27,5.7377,5.7761,5.6416,5.68, 73217100
2012-06-26,5.7304,5.7785,5.7112,5.74, 69251400
2012-06-25,5.7048,5.7968,5.7048,5.76,145128200
2012-06-22,  5.74,  5.74,  5.74,5.74,        0
2012-06-21,5.7768,5.7768,5.6848,5.74, 66800800
2012-06-20, 5.724, 5.816,5.7148,5.77, 94087300
2012-06-19,5.6548,5.7376,5.6364,5.71,111866700
2012-06-18,5.6868, 5.696,5.6224,5.65,125152500
2012-06-15,  5.53,  5.53,  5.53,5.53,        0
2012-06-14,5.6036,5.6036,5.5116,5.53, 80871100
2012-06-13, 5.564,5.6192,5.5364,5.61, 80242600
2012-06-12,5.5776, 5.596, 5.504,5.55,114636500
2012-06-11, 5.616,5.6252,5.5424,5.57,114511100
2012-06-08,5.7923,5.7923,5.5532,5.59,267299300
2012-06-07,5.8468,5.8745,5.7824,5.81, 68397900
2012-06-06, 5.744, 5.836, 5.744,5.79, 73418600
2012-06-05, 5.694,5.7768,5.6388,5.74, 98406000
2012-06-04,5.7805,5.7897,5.6608,5.67,117021600
2012-06-01,5.8576,5.8944,5.8208,5.83, 85792000
2012-05-31,  5.86,5.8876,5.8416,5.86, 63659200
2012-05-30,5.9468,5.9468,5.8456,5.91,111367600
2012-05-29,5.8856,5.9684,5.8304,5.95,115147400
2012-05-28,5.8164,5.8992,5.7888,5.89,106006700
2012-05-25,5.8936,5.9027, 5.774,5.82,129567200
2012-05-24, 6.028,6.0372,5.8532,5.89,149143000
2012-05-23,6.1036,6.1129,6.0024,6.03, 70750300
2012-05-22,6.0732,6.1284,6.0364,6.11, 69664000
2012-05-21,5.9663,6.0676,5.9663,6.04, 66183900
2012-05-18,  5.98,6.0076, 5.934,5.98, 89305900
2012-05-17,5.9471,6.0668,5.9287,6.03, 80879500
2012-05-16,6.0503,6.0503,5.9032,5.94, 96380200
2012-05-15,6.0684,6.0868, 6.004,6.05, 95922700
2012-05-14,6.1544,6.1636,  6.09,6.09, 89206100
2012-05-11,  6.11,6.1836,6.1008,6.11, 66689300
2012-05-10,6.1752,6.2028,6.0832,6.12,104619700
2012-05-09,6.1984, 6.226,6.1432,6.18,127697000
2012-05-08,6.2576,6.2852, 6.184,6.23,143911300
2012-05-07,6.2332,6.2884,6.2056,6.27,129704600
2012-05-04, 6.224,6.2884,6.1597,6.27,170153900
2012-05-03,  6.26,  6.26,  6.26,6.26,        0
2012-05-02,6.2048, 6.306,6.1679,6.26,243517900
2012-05-01,  6.12,  6.12,  6.12,6.12,        0
2012-04-30,  6.12,  6.12,  6.12,6.12,        0
2012-04-27,6.1016,6.1568,6.0832,6.12,122416200
2012-04-26,6.1068,6.1436, 6.024,6.07,112711200
2012-04-25,6.0508, 6.106, 6.014,6.06, 86213400
2012-04-24,5.9581,6.1603,5.9489,6.05,210406500
2012-04-23, 6.006,6.0336,  5.96,5.96, 85122000
2012-04-20,5.9287,  6.03,5.9195,6.03,103536500
2012-04-19,5.9024,5.9576,5.8932,5.93, 74002700
2012-04-18,5.8648,5.9476,5.8373,5.92, 99775100
2012-04-17,5.8768, 5.886,5.8308,5.84, 63753600
2012-04-16,5.8516,5.8976,5.8424,5.87, 54966500
2012-04-13,5.8892,5.8984,5.8432,5.88,101340100
2012-04-12, 5.742,5.8892,5.7236,5.88,151595800
2012-04-11,5.7132,5.7684,5.6948,5.75,145165000
2012-04-10,  5.69,  5.69,  5.69,5.69,        0
2012-04-09,5.7544,5.7637,5.6808,5.69, 69324500
2012-04-06,5.7524,5.7892,5.6972,5.78, 97721000
2012-04-05,5.7148,5.7976,5.6688,5.77,137454500
2012-04-04,  5.77,  5.77,  5.77,5.77,        0
2012-04-03,  5.77,  5.77,  5.77,5.77,        0
2012-04-02,  5.77,  5.77,  5.77,5.77,        0
2012-03-30,5.6412,5.7792,5.6412,5.77,132762700
2012-03-29,5.6852,5.6944,5.5932,5.63,139580100
2012-03-28,5.7911,5.7911, 5.644,5.69,129950500
2012-03-27,5.8376,5.8652,5.7732,5.81,107247300
2012-03-26,   5.8,   5.8,   5.8, 5.8,        0
2012-03-23,   5.8, 5.846,5.7632, 5.8,135479500
2012-03-22,5.7148,5.8252,5.6964,5.77,104675000
2012-03-21,5.7368,5.7552,5.6724, 5.7,112566700
2012-03-20,5.8011,5.8195,   5.7, 5.7,122726900
2012-03-19,5.8568,5.8568,5.7924,5.82, 96547700
2012-03-16,5.8508,5.8876,5.8048,5.86,115687000
2012-03-15,5.8592, 5.942,5.8408,5.85,139873900
2012-03-14,5.9512,6.0064,5.8408,5.85,199154800
2012-03-13,5.8564,5.9484,5.8473,5.93, 95822200
2012-03-12,5.9252,5.9436, 5.824,5.87,149324000
2012-03-09,5.9224,5.9592,5.8856,5.95,102735800
2012-03-08,5.9384, 5.966,5.9016,5.92,110751800
2012-03-07, 5.946,5.9828,   5.9, 5.9, 90563100
2012-03-06, 6.062,6.0712,5.9608,5.97,132397300
2012-03-05, 6.162,6.1712,6.0516,6.07,161121700
2012-03-02,6.0489,6.1592,6.0397,6.15,166655800
2012-03-01,6.0324,6.0876,6.0232,6.06, 74648800
2012-02-29,  6.06,6.0876, 6.014,6.06,114859000
2012-02-28,5.9588,6.0968,5.9588,6.06,203280800
2012-02-27,6.0168,6.0536,  5.98,5.98,187409900
2012-02-24,5.9456,6.0192,5.8996,6.01,211027200
2012-02-23,5.9392,5.9576,5.8932,5.93,132825900
2012-02-22,5.9408,5.9684,5.8764,5.95,137090500
2012-02-21,  5.95,5.9776,5.8672,5.95, 93483900
2012-02-20,6.0236, 6.042,5.9224,5.95,120743800
2012-02-17,5.9292,5.9384,5.8832,5.92, 70394800
2012-02-16,5.9084, 5.936,5.8532,5.89,111173100
2012-02-15,5.8824,5.9652, 5.864,5.91,104801400
2012-02-14,   5.9,5.9092,5.8448, 5.9, 92936400
2012-02-13,  5.91,5.9929, 5.864,5.91,136547700
2012-02-10,6.0076,6.0812,5.9616,5.98,127104700
2012-02-09,6.0668,6.0852,6.0116,6.03, 97501300
2012-02-08,5.9137,6.0792,5.8861,6.07,139801900
2012-02-07,5.9844,5.9844,5.8832,5.92,110649400
