symbol,percent,error
600000,0.028213,0.031761
600004,0.000000,0.031750
600005,0.000000,0.036647
600006,0.000000,0.044785
600007,0.000000,0.018244
600008,0.000000,0.020410
600009,0.006772,0.027243
600010,0.077181,0.037263
600011,0.002889,0.054788
600012,0.000000,0.020623
600015,0.031615,0.024090
600016,0.020341,0.028939
600017,0.003849,0.010272
600018,0.000000,0.034177
600019,0.005233,0.036825
600020,0.001902,0.038037
600021,0.012850,0.024750
600022,0.021051,0.028516
600026,0.000000,0.031886
600027,0.000000,0.049467
600028,0.033555,0.042206
600029,0.021885,0.031521
600030,0.019408,0.015866
600031,0.020424,0.031124
600033,0.012919,0.024842
600035,0.000000,0.041121
600036,0.029709,0.037177
600037,0.000000,0.024044
600038,0.000000,0.010572
600039,0.072778,0.023939
600048,0.017370,0.024620
600050,0.000897,0.031937
600051,0.000000,0.013468
600052,0.000000,0.015406
600053,0.000000,0.014004
600054,0.008338,0.031057
600055,0.000000,0.031861
600056,0.000000,0.026104
600058,0.025726,0.035366
600059,0.000000,0.011967
600060,0.032618,0.025091
600061,0.000000,0.050537
600062,0.000000,0.047802
600063,0.013061,0.011790
600064,0.011370,0.020997
600066,0.006995,0.018566
600067,0.011217,0.024569
600068,0.000000,0.015553
600069,0.000000,0.013992
600070,0.000000,0.020101
600071,0.000000,0.023694
600072,0.000000,0.038384
600073,0.000000,0.020560
600074,0.000000,0.019356
600075,0.000000,0.012860
600076,0.000000,0.015008
600077,0.023823,0.018346
600078,0.017189,0.018165
600079,0.000000,0.020870
600080,0.000000,0.014385
600081,-0.008004,0.011957
600082,0.000000,0.014752
600083,-0.025395,0.042534
600084,0.000000,0.029314
600085,0.000000,0.026250
600086,0.000000,0.048991
600087,0.025588,0.021606
600088,0.005313,0.011495
600089,0.018729,0.017865
600090,0.022473,0.012525
600091,0.000000,0.044010
600093,0.000000,0.025820
600095,0.000000,0.014740
600096,0.000000,0.019166
600097,0.000000,0.015519
600098,-0.011772,0.027546
600099,0.000000,0.030647
600100,0.058629,0.023815
600101,0.029432,0.024801
600102,NaN
600103,-0.007979,0.015963
600104,0.053398,0.040706
600105,0.000000,0.049044
600106,0.073850,0.028304
600107,0.000000,0.034177
600108,0.000000,0.014362
600109,0.000000,0.024530
600110,0.000000,0.049830
600111,0.054889,0.014263
600112,0.024174,0.014034
600113,0.000000,0.031802
600114,0.000000,0.039980
600115,0.013137,0.057701
600116,0.020878,0.019695
600117,0.045928,0.022018
600118,0.000000,0.019875
600119,0.000000,0.027591
600120,0.000000,0.012333
600121,0.000000,0.022561
600122,0.000000,0.010576
600123,0.016197,0.020975
600125,0.000000,0.016841
600126,0.000000,0.025032
600127,-0.003713,0.033002
600128,0.008495,0.012596
600129,-0.004106,0.014641
600130,0.000000,0.052891
600131,0.060476,0.017930
600132,0.000000,0.083128
600133,0.000000,0.009442
600135,-0.003191,0.017936
600136,0.000000,0.020619
600137,0.000000,0.017752
600138,0.013950,0.014262
600139,0.051661,0.024737
600141,0.008242,0.020330
600143,0.000000,0.013321
600145,-0.002717,0.011146
600146,-0.002544,0.019293
600148,0.000000,0.013311
600149,0.100023,0.022256
