Date,Open,High,Low,Close,Volume
2013-07-23,   29,29.98, 28.2,29.35,21432100
2013-07-22,27.01,29.98,26.62,29.85,27941600
2013-07-19,26.97,27.25,26.01,27.25,25413300
2013-07-18,24.76,24.77,24.24,24.77, 7680800
2013-07-17,20.42,22.52,20.09,22.52,23094800
2013-07-16,19.08,   21, 18.6,20.47,17033100
2013-07-15,   18,19.24,17.92, 19.1,10714600
2013-07-12, 17.9,18.94, 17.9,18.22,10129000
2013-07-11,17.94, 18.3,17.36,17.87, 7505500
2013-07-10, 17.3,18.28,17.28,17.94, 6209000
2013-07-09,16.72,17.52,16.72,17.28, 4503900
2013-07-08, 17.7, 17.7, 16.6,16.91, 6918600
2013-07-05,18.98,19.25,17.88, 17.9,13616700
2013-07-04,17.51,19.56,17.51,19.28,17693300
2013-07-03, 17.2,17.95,16.77,17.78, 9271500
2013-07-02, 16.8,17.71, 16.6,17.22, 7557600
2013-07-01,15.82,16.87,15.82,16.68, 4981300
2013-06-28,   16,16.86,15.48, 16.1, 7039900
2013-06-27, 17.7, 18.1,16.35,16.35, 9131600
2013-06-26,17.01,18.26,16.63,17.82, 7856900
2013-06-25, 16.2,17.29,15.21,17.01, 7198600
2013-06-24, 18.6,18.98, 16.7, 16.9, 8181400
2013-06-21,17.15,18.52, 16.6,18.37, 7283000
2013-06-20,17.39,18.36,17.17, 17.7, 7271200
2013-06-19,17.51,18.11,17.13,17.69, 3260700
2013-06-18, 17.6,18.16,17.05, 17.8, 4923600
2013-06-17, 17.5,18.88,17.47,17.71,10433800
2013-06-14, 16.5, 17.9,16.41,17.64, 7871200
2013-06-13,16.26,16.38,15.02,16.35, 3758100
2013-06-12,16.45,16.45,16.45,16.45,       0
2013-06-11,16.45,16.45,16.45,16.45,       0
2013-06-10,16.45,16.45,16.45,16.45,       0
2013-06-07,17.09,17.37,16.31,16.45, 4276900
2013-06-06, 17.4,17.77,17.18,17.18, 3612900
2013-06-05,17.46,17.63, 17.1,17.34, 3227900
2013-06-04,18.21, 18.3,17.39,17.48, 5295000
2013-06-03, 17.9, 18.5, 17.9,18.33, 5798300
2013-05-31,18.26, 18.5,17.86,17.87, 5099600
2013-05-30,18.26, 18.5,18.04,18.25, 6417100
2013-05-29,18.53, 19.1,18.43,18.65, 8095700
2013-05-28,18.51,18.59, 18.1,18.23, 5742600
2013-05-27,18.47,18.88,   18,18.81, 8759300
2013-05-24, 18.2,19.15,18.17,18.68,10183800
2013-05-23,19.05,19.15,18.16,18.21,11235500
2013-05-22,19.17,19.55, 18.5,   19,11863300
2013-05-21,19.38, 20.1,19.13, 19.8,25106500
2013-05-20,18.11,18.48,17.68,18.48,14580900
2013-05-17,16.04,17.15,16.01, 16.8,13196800
2013-05-16,   16,16.28, 15.7,15.88, 6581200
2013-05-15,15.45,16.16,15.32,16.04, 6479300
2013-05-14,15.68,15.98,15.25,15.39, 4531200
2013-05-13, 15.5,16.16, 15.4,15.89, 6417500
2013-05-10,16.64, 17.5,16.23,16.24,13964400
2013-05-09, 16.4, 16.4,15.75,15.99, 9684700
2013-05-08,15.15, 16.6,15.15,16.49,13976400
2013-05-07,15.27,15.33,15.02,15.13, 4010100
2013-05-06,14.88,15.59,14.77,15.41, 6106100
2013-05-03, 14.6,14.99, 14.6,14.83, 2075000
2013-05-02,14.51, 14.8,14.51,14.67, 1287400
2013-05-01, 14.6, 14.6, 14.6, 14.6,       0
2013-04-30, 14.6, 14.6, 14.6, 14.6,       0
2013-04-29, 14.6, 14.6, 14.6, 14.6,       0
2013-04-26,14.65,14.97,14.58, 14.6, 2060300
2013-04-25,15.11,15.37,14.78,14.78, 3611700
2013-04-24,14.88,15.54,14.88,15.21, 4427600
2013-04-23,15.69,15.69,14.83,14.87, 4768600
2013-04-22,15.15,15.64,   15,15.62, 5521600
2013-04-19,14.92,15.31,14.92,15.17, 3454900
2013-04-18, 14.9,15.18,14.81,14.92, 2613000
2013-04-17, 14.8,14.91,14.71, 14.9, 2182400
2013-04-16,14.68, 14.9,14.41, 14.8, 2187200
2013-04-15,15.26, 15.3,14.59,14.68, 3159300
2013-04-12,15.06,15.41,15.06, 15.2, 2600600
2013-04-11,15.45,15.54,   15,15.15, 3012200
2013-04-10,15.91,15.94,14.89, 15.3, 7188200
2013-04-09,16.13,   17,16.03,16.16,12570600
2013-04-08, 15.3,16.81, 15.3,16.37,13834200
2013-04-05,15.28,15.28,15.28,15.28,       0
2013-04-04,15.28,15.28,15.28,15.28,       0
2013-04-03,15.43,15.55,15.04,15.28, 2496500
2013-04-02,14.91,15.59,14.91,15.42, 6065700
2013-04-01,14.79,   15,14.56, 14.9, 2493600
2013-03-29, 14.5,14.96, 14.5,14.65, 3562700
2013-03-28, 15.4, 15.4, 14.5, 14.5, 4726700
2013-03-27, 15.7,15.98,15.39,15.57, 4381000
2013-03-26,15.21,15.79,15.21,15.77, 5673100
2013-03-25,15.56,15.58,15.11,15.27, 2517000
2013-03-22,15.58,15.65, 15.3, 15.5, 3609600
2013-03-21, 15.4,15.64,15.25,15.52, 4131900
2013-03-20,14.65,15.59,14.65,15.33, 5392600
2013-03-19,15.15,15.38,14.38,14.72, 4267000
2013-03-18, 15.2,15.57,15.12,15.13, 3108400
2013-03-15,15.35,15.89,15.17,15.41, 4659200
2013-03-14,15.95,16.25,15.81,15.87, 3089300
2013-03-13,15.39, 16.5,15.21,16.03, 6195000
2013-03-12,16.61, 16.7,15.12,15.64, 9566700
2013-03-11, 17.5,17.72, 16.6, 16.7, 9090300
2013-03-08, 16.7,18.28,16.52, 17.5,16218300
2013-03-07,16.78, 17.2, 16.4, 16.7, 7547700
2013-03-06,16.31,16.65,16.29,16.63, 5246700
2013-03-05,16.14,16.66,16.05,16.36, 5076500
2013-03-04,16.92,17.18,16.03,16.14, 7832400
2013-03-01, 17.1,17.45,16.75,17.25, 9492500
2013-02-28, 16.5,17.34,16.45,17.09, 9790000
2013-02-27,16.36,16.69,16.03,16.55, 6723200
2013-02-26,16.36, 17.3,15.98,16.44, 9311900
2013-02-25,16.36,16.95,16.34,16.53, 8363900
2013-02-22,17.78, 18.5,16.84,16.96,14201400
2013-02-21,17.09,18.31,16.66,   18,16989100
2013-02-20,17.34,17.58,16.35,17.31,12314300
2013-02-19,16.68,17.99,16.68,17.39,19554400
2013-02-18,15.18,16.62,15.18,16.62,15989000
2013-02-15,15.11,15.11,15.11,15.11,       0
2013-02-14,15.11,15.11,15.11,15.11,       0
2013-02-13,15.11,15.11,15.11,15.11,       0
2013-02-12,15.11,15.11,15.11,15.11,       0
2013-02-11,15.11,15.11,15.11,15.11,       0
2013-02-08,15.13,15.28, 14.9,15.11, 5781100
2013-02-07, 15.2,15.38,14.73,15.11, 6511300
2013-02-06,14.99, 15.6,14.72,15.25, 9183900
2013-02-05,15.51,15.51,14.57,15.01,10922400
2013-02-04,16.52,17.02,15.17,15.66,11168800
2013-02-01,16.07,   17,16.07, 16.6,13217000
2013-01-31,16.15,16.73,15.99,16.05,10337900
2013-01-30,16.88,17.15,16.11,16.37,15825000
2013-01-29,17.14,18.81, 16.9,17.26,21267600
2013-01-28,17.59,18.11,16.73, 17.4,23635200
2013-01-25, 15.5, 17.9,15.43, 17.9,28965500
2013-01-24,16.17,17.25,16.08,16.27,26544800
2013-01-23,13.92,15.77,13.86,15.77,27720100
2013-01-22, 13.5,14.57,12.95,14.34,20464500
2013-01-21,13.65,13.68,13.35,13.46, 6797700
2013-01-18,13.45,13.72,13.35, 13.6, 7342800
2013-01-17, 13.6,13.85,13.25,13.47,10916000
2013-01-16,13.99,14.08,13.42, 13.6,16780100
2013-01-15,14.58, 15.1,14.37, 14.4,18872400
2013-01-14, 14.4,15.26,13.71, 14.7,22930500
2013-01-11,   14, 15.6,13.61, 14.5,31470000
2013-01-10,13.05,14.33, 12.7,14.33,27555100
2013-01-09, 14.6, 14.6,12.61,13.03,27595600
2013-01-08,13.05,13.88,13.05,13.88,11212400
2013-01-07,11.71,12.62,11.66,12.62,19951300
2013-01-04,   11,11.47,10.69,11.47,19312000
2013-01-03,10.43,10.43,10.43,10.43,       0
2013-01-02,10.43,10.43,10.43,10.43,       0
2013-01-01,10.43,10.43,10.43,10.43,       0
