Date,Open,High,Low,Close,Volume
2013-07-23,  10,   10,9.35, 9.51,15689400
2013-07-22,9.21, 9.21,9.21, 9.21, 1325800
2013-07-19,8.71, 8.85,8.34, 8.37, 3732800
2013-07-18, 8.7,    9,8.61, 8.85, 2509900
2013-07-17,8.94, 9.17,8.75, 8.78, 3251700
2013-07-16,8.66, 9.15, 8.5, 9.02, 4036300
2013-07-15,8.77, 8.83, 8.6, 8.68, 2553700
2013-07-12,8.72, 8.93,8.56, 8.59, 2359700
2013-07-11,8.35, 8.73,8.33, 8.67, 3086800
2013-07-10,   8, 8.37, 7.9, 8.35, 1876100
2013-07-09,8.15, 8.16,7.82, 8.07, 1681800
2013-07-08, 8.4,  8.4,7.78, 8.05, 2474900
2013-07-05,8.57, 8.77,8.44, 8.45, 2484100
2013-07-04,8.32, 8.76,8.22, 8.57, 3428900
2013-07-03,8.33, 8.54,8.18, 8.43, 3405900
2013-07-02,7.83, 8.56, 7.8, 8.47, 4385100
2013-07-01, 7.5, 7.87,7.35, 7.83, 3403500
2013-06-28, 8.1,  8.1,7.44, 7.64, 9412800
2013-06-27, 8.6, 8.85,8.21, 8.27, 5023500
2013-06-26, 8.3, 8.74,8.08, 8.68, 5511000
2013-06-25,8.53,  8.6,7.67, 8.31, 8490500
2013-06-24,9.19,  9.4,8.44, 8.52, 8412700
2013-06-21,8.88, 9.49,8.71, 9.21, 5362800
2013-06-20,9.98,10.07,9.18, 9.21, 6770200
2013-06-19,9.92,10.14,9.73,10.04, 4437500
2013-06-18,9.93,10.11,9.48,10.04, 7374200
2013-06-17,9.32, 9.97,9.24,  9.9, 6510900
2013-06-14,9.16, 9.44,8.83, 9.36, 5336900
2013-06-13, 9.6,  9.6, 8.8, 9.18, 6786600
2013-06-12,9.78, 9.78,9.78, 9.78,       0
2013-06-11,9.78, 9.78,9.78, 9.78,       0
2013-06-10,9.78, 9.78,9.78, 9.78,       0
2013-06-07,9.27,10.15,9.27, 9.78, 9005900
2013-06-06,9.26,  9.7,9.16, 9.33, 5746100
2013-06-05, 9.4, 9.63,9.15, 9.33, 5103700
2013-06-04,9.47, 9.86,9.38, 9.46, 5290200
2013-06-03,10.1,10.18,9.37, 9.54, 7181500
2013-05-31,9.96,10.25, 9.8, 9.92, 5854800
2013-05-30,9.72,10.08,9.54,10.04, 9007500
2013-05-29,9.62, 9.96, 9.5, 9.72,10626700
2013-05-28,9.08,10.08,9.08, 9.67,14244100
2013-05-27,8.98, 9.28,8.74, 9.18,12217300
2013-05-24,8.02, 8.91,8.02, 8.91,12171600
2013-05-23,7.74, 8.32,7.74,  8.1, 7953000
2013-05-22,7.35, 7.96,7.29, 7.94, 8134900
2013-05-21,7.31, 7.41,7.21, 7.37, 2926800
2013-05-20,7.38, 7.61,7.23, 7.37, 5188400
2013-05-17,7.35, 7.39,7.21, 7.38, 3045400
2013-05-16,7.14, 7.46,7.01, 7.36, 3530700
2013-05-15,6.93, 7.15,6.93, 7.12, 1100800
2013-05-14,7.12, 7.19,6.96, 6.99, 1970900
2013-05-13,7.12, 7.45,7.08, 7.16, 3472800
2013-05-10,6.91, 7.17,6.85, 7.12, 3166300
2013-05-09,6.96, 7.03,6.85, 6.96, 1786700
2013-05-08,6.98, 7.07,6.91, 6.94, 2015000
2013-05-07,6.83, 7.03,6.72,    7, 3151100
2013-05-06, 6.6,  6.9,6.57, 6.87, 3797100
2013-05-03,6.44, 6.63,6.37, 6.56, 1172700
2013-05-02,6.43, 6.48,6.22, 6.44, 1413800
2013-05-01,6.46, 6.46,6.46, 6.46,       0
